City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,port lavaca,28.615,-96.6261,32.20999999999998,36,0,5.66,US,2024-4-102
63,tyukhtet,56.5389,89.3011,-2.2799999999999727,90,100,3.86,RU,2024-4-102
64,invercargill,-46.4,168.35,10.939999999999998,90,100,2.65,NZ,2024-4-102
65,mahriz,31.5917,54.4318,23.430000000000007,29,0,4.17,IR,2024-4-102
66,fortuna,40.5982,-124.1573,17.79000000000002,87,75,4.12,US,2024-4-102
67,penzance,50.1186,-5.5371,14.529999999999973,88,24,6.74,GB,2024-4-102
68,kupang,-10.1667,123.5833,29.470000000000027,94,83,2.57,ID,2024-4-102
69,papatowai,-46.5619,169.4708,10.439999999999998,88,100,2.88,NZ,2024-4-102
70,kalecik,40.0972,33.4083,19.100000000000023,53,95,3.93,TR,2024-4-102
71,moram,17.8,76.4667,32.25999999999999,40,8,5.77,IN,2024-4-102
72,hamilton,39.1834,-84.5333,23.25999999999999,89,100,4.63,US,2024-4-102
73,kulu,39.0951,33.0799,17.930000000000007,59,100,2.83,TR,2024-4-102
74,kapuskasing,49.4169,-82.4331,16.779999999999973,66,100,3.35,CA,2024-4-102
75,phayuha khiri,15.4553,100.1353,37.72000000000003,45,8,3.04,TH,2024-4-102
76,port mathurin,-19.6833,63.4167,28.19999999999999,94,75,1.03,MU,2024-4-102
77,edinburgh of the seven seas,-37.0676,-12.3116,21.19999999999999,96,95,4.62,SH,2024-4-102
78,bilibino,68.0546,166.4372,-15.490000000000009,99,100,0.49,RU,2024-4-102
79,afaahiti,-17.75,-149.2833,32.079999999999984,85,100,7.76,PF,2024-4-102
80,westport,41.1415,-73.3579,19.529999999999973,89,100,2.24,US,2024-4-102
81,ginir,7.1333,40.7,19.629999999999995,88,22,1.28,ET,2024-4-102
82,tulun,54.5611,100.5792,3.6399999999999864,98,100,1.53,RU,2024-4-102
83,port alfred,-33.5906,26.891,18.25,83,5,1.79,ZA,2024-4-102
84,talnakh,69.4865,88.3972,-22.849999999999994,98,97,3.15,RU,2024-4-102
85,semporna,4.4818,118.6112,29.220000000000027,83,67,0.21,MY,2024-4-102
86,egilsstadir,65.2653,-14.3948,4.449999999999989,97,98,0.53,IS,2024-4-102
87,remire-montjoly,4.9167,-52.2667,33.170000000000016,74,75,7.72,GF,2024-4-102
88,choix,26.7092,-108.3219,37.89999999999998,6,100,2.74,MX,2024-4-102
89,ust'-barguzin,53.45,108.9833,1.1999999999999886,95,95,1.3,RU,2024-4-102
90,albany,42.6001,-73.9662,17.360000000000014,80,100,1.79,US,2024-4-102
91,potchefstroom,-26.7167,27.1,17.170000000000016,35,0,1.85,ZA,2024-4-102
92,queenstown,-31.8976,26.8753,9.759999999999991,74,0,1.45,ZA,2024-4-102
93,cill airne,52.05,-9.5167,15.589999999999975,97,100,3.68,IE,2024-4-102
94,grande prairie,55.1667,-118.8027,13.25,32,75,4.63,CA,2024-4-102
95,taro,-8.3862,115.28,27.149999999999977,99,100,0.54,ID,2024-4-102
96,shahritus,37.2637,68.1385,27.110000000000014,39,100,1.16,TJ,2024-4-102
97,kavaratti,10.5669,72.642,32.54000000000002,69,0,3.43,IN,2024-4-102
98,usinsk,65.9939,57.5281,4.860000000000014,99,100,10.28,RU,2024-4-102
99,ocean shores,46.9737,-124.1563,14.470000000000027,90,100,1.79,US,2024-4-102
100,along,28.1667,94.7667,18.24000000000001,73,100,0.39,IN,2024-4-102
101,yellowknife,62.456,-114.3525,5.050000000000011,83,52,2.68,CA,2024-4-102
102,papao,-17.75,-149.55,32.97000000000003,84,99,8.73,PF,2024-4-102
103,lihue,21.9789,-159.3672,28.730000000000018,84,100,3.09,US,2024-4-102
104,walvis bay,-22.9575,14.5053,20.839999999999975,77,12,0.47,NA,2024-4-102
105,st. john's,47.5649,-52.7093,10.45999999999998,70,20,4.12,CA,2024-4-102
106,yanam,16.7333,82.2167,28.529999999999973,85,46,1.31,IN,2024-4-102
107,kodiak,57.79,-152.4072,2.8799999999999955,93,100,1.54,US,2024-4-102
108,hadibu,12.65,54.0333,31.220000000000027,77,98,2.33,YE,2024-4-102
109,ushuaia,-54.8,-68.3,11.95999999999998,57,0,11.83,AR,2024-4-102
110,petropavlovsk-kamchatsky,53.0452,158.6483,1.4800000000000182,71,0,11.62,RU,2024-4-102
